fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
9,packing_seed_90439,90439,mlp,3,0.13710182473034238,0.11402077433575278,0.12368911851993511,0.17333630015570636,20.242846559367923,0.3891232535752924,10.843885356209038,-20.90414725179601,1,50,0.20481927710843373,0.00012252293527126312,2.494726392906159,126
9,packing_seed_90439,90439,mlp,ensemble,0.1363594459752947,0.11402077433575278,0.12368911851993511,0.17333630015570636,19.59175577405048,0.3766074957735139,10.243688051926325,-21.332435356700074,1,50,0.19047619047619047,0.0003520278260111809,9.522025883896276,186.33333333333334
9,packing_seed_90439,90439,gnn,1,0.14523121938354153,0.11402077433575278,0.12368911851993511,0.17333630015570636,27.372595239429344,0.5261766563871484,17.416326610925314,-16.21419214954877,1,50,0.2345679012345679,0.0012903870083391666,6.615172249963507,34
9,packing_seed_90439,90439,gnn,2,0.15421073049862907,0.11402077433575278,0.12368911851993511,0.17333630015570636,35.247924246269726,0.6775621661834194,24.67606879563522,-11.033793636934085,1,50,0.20481927710843373,0.0013615170028060675,7.907042040023953,66
9,packing_seed_90439,90439,gnn,3,0.16067085463984754,0.11402077433575278,0.12368911851993511,0.17333630015570636,40.913667334626226,0.7864733500921237,29.89894063636005,-7.3068627312810825,1,50,0.2345679012345679,0.001432524062693119,10.31302116299048,114
9,packing_seed_90439,90439,gnn,ensemble,0.15495771153104437,0.11402077433575278,0.12368911851993511,0.17333630015570636,35.903051381449224,0.6901555137444388,25.27998694248086,-10.602850417455933,1,50,0.2345679012345679,0.004084428073838353,24.83523545297794,71.33333333333333
10,packing_seed_99223,99223,mlp,1,0.12574112846684032,0.10773800078315171,0.1205793320704617,0.16628314269791683,16.710100013758545,0.3075084814022496,4.280830145387005,-24.381313447225583,1,50,0.21951219512195122,0.00010362989269196987,1.9748502580914646,84
10,packing_seed_99223,99223,mlp,2,0.12665953031278013,0.10773800078315171,0.1205793320704617,0.16628314269791683,17.562540043519537,0.32319555322243393,5.042487910586035,-23.829001390189084,1,50,0.2345679012345679,0.00011486303992569447,3.768590140156448,233
10,packing_seed_99223,99223,mlp,3,0.12537307139887519,0.10773800078315171,0.1205793320704617,0.16628314269791683,16.368477684320727,0.30122175878227564,3.9755895526210283,-24.60265703142388,1,50,0.25,0.00012327893637120724,4.220304403919727,259
10,packing_seed_99223,99223,mlp,ensemble,0.12686451215006808,0.10773800078315171,0.1205793320704617,0.16628314269791683,17.752799595207836,0.3266968144814191,5.212485400013311,-23.705728619442656,1,50,0.25,0.0003417718689888716,9.96374480216764,192.0
10,packing_seed_99223,99223,gnn,1,0.13429027290053064,0.10773800078315171,0.1205793320704617,0.16628314269791683,24.64522445596673,0.4535350201394324,11.370888024207005,-19.239995875894035,1,50,0.21951219512195122,0.0013954490423202515,7.002312145894393,40
10,packing_seed_99223,99223,gnn,2,0.13674034757856465,0.10773800078315171,0.1205793320704617,0.16628314269791683,26.919328913283856,0.49538434525680997,13.402807289278318,-17.766560482334626,1,50,0.17647058823529413,0.0013562131207436323,11.32792298309505,86
